Algorithm	Variant	Observed_Undetermined	Observed_.	Chi	Type	Genotype	Count
BayesTyper	NA_variant_6	0	0	26.687405943262718	Expected	G2	13.201666666666668
BayesTyper	SPINK14	0	0	1.1052604664121015	Observed	G0	29
BayesTyper	SPINK14	0	0	1.1052604664121015	Observed	G1	81
BayesTyper	SPINK14	0	0	1.1052604664121015	Observed	G2	40
BayesTyper	SPINK14	0	0	1.1052604664121015	Expected	G0	32.20166666666667
BayesTyper	SPINK14	0	0	1.1052604664121015	Expected	G1	74.59666666666665
BayesTyper	SPINK14	0	0	1.1052604664121015	Expected	G2	43.20166666666666
BayesTyper	SVAE	0	0	0.4966222600151172	Observed	G0	107
BayesTyper	SVAE	0	0	0.4966222600151172	Observed	G1	38
BayesTyper	SVAE	0	0	0.4966222600151172	Observed	G2	5
BayesTyper	SVAE	0	0	0.4966222600151172	Expected	G0	105.83999999999999
BayesTyper	SVAE	0	0	0.4966222600151172	Expected	G1	40.32
BayesTyper	SVAE	0	0	0.4966222600151172	Expected	G2	3.8400000000000003
BayesTyper	ShortInversion	0	0	13.097354570303196	Observed	G0	90
BayesTyper	ShortInversion	0	0	13.097354570303196	Observed	G1	41
BayesTyper	ShortInversion	0	0	13.097354570303196	Observed	G2	19
BayesTyper	ShortInversion	0	0	13.097354570303196	Expected	G0	81.40166666666667
BayesTyper	ShortInversion	0	0	13.097354570303196	Expected	G1	58.196666666666665
BayesTyper	ShortInversion	0	0	13.097354570303196	Expected	G2	10.401666666666664
BayesTyper	svVariant_1	0	0	2.789256198347107	Observed	G0	0
BayesTyper	svVariant_1	0	0	2.789256198347107	Observed	G1	36
BayesTyper	svVariant_1	0	0	2.789256198347107	Observed	G2	114
BayesTyper	svVariant_1	0	0	2.789256198347107	Expected	G0	2.16
BayesTyper	svVariant_1	0	0	2.789256198347107	Expected	G1	31.68
BayesTyper	svVariant_1	0	0	2.789256198347107	Expected	G2	116.16
BayesTyper	svVariant_10	2	0	0.187453093887601	Observed	G0	120
BayesTyper	svVariant_10	2	0	0.187453093887601	Observed	G1	26
BayesTyper	svVariant_10	2	0	0.187453093887601	Observed	G2	2
BayesTyper	svVariant_10	2	0	0.187453093887601	Expected	G0	119.52027027027029
BayesTyper	svVariant_10	2	0	0.187453093887601	Expected	G1	26.95945945945946
BayesTyper	svVariant_10	2	0	0.187453093887601	Expected	G2	1.5202702702702704
BayesTyper	svVariant_2	0	0	29.345414201183434	Observed	G0	58
BayesTyper	svVariant_2	0	0	29.345414201183434	Observed	G1	92
BayesTyper	svVariant_2	0	0	29.345414201183434	Observed	G2	0
BayesTyper	svVariant_2	0	0	29.345414201183434	Expected	G0	72.10666666666667
BayesTyper	svVariant_2	0	0	29.345414201183434	Expected	G1	63.78666666666666
BayesTyper	svVariant_2	0	0	29.345414201183434	Expected	G2	14.106666666666664
BayesTyper	svVariant_3	0	0	1.6952465927013725	Observed	G0	43
BayesTyper	svVariant_3	0	0	1.6952465927013725	Observed	G1	67
BayesTyper	svVariant_3	0	0	1.6952465927013725	Observed	G2	40
BayesTyper	svVariant_3	0	0	1.6952465927013725	Expected	G0	39.015
BayesTyper	svVariant_3	0	0	1.6952465927013725	Expected	G1	74.97
BayesTyper	svVariant_3	0	0	1.6952465927013725	Expected	G2	36.015
BayesTyper	svVariant_4	0	0	133.60756840470322	Observed	G0	90
BayesTyper	svVariant_4	0	0	133.60756840470322	Observed	G1	4
BayesTyper	svVariant_4	0	0	133.60756840470322	Observed	G2	56
BayesTyper	svVariant_4	0	0	133.60756840470322	Expected	G0	56.426666666666655
BayesTyper	svVariant_4	0	0	133.60756840470322	Expected	G1	71.14666666666666
BayesTyper	svVariant_4	0	0	133.60756840470322	Expected	G2	22.426666666666666
BayesTyper	svVariant_5	0	0	NA	Observed	G0	150
BayesTyper	svVariant_5	0	0	NA	Observed	G1	0
BayesTyper	svVariant_5	0	0	NA	Observed	G2	0
BayesTyper	svVariant_5	0	0	NA	Expected	G0	150
BayesTyper	svVariant_5	0	0	NA	Expected	G1	0
BayesTyper	svVariant_5	0	0	NA	Expected	G2	0
BayesTyper	svVariant_6	0	0	1.2907518070002977	Observed	G0	8
BayesTyper	svVariant_6	0	0	1.2907518070002977	Observed	G1	43
BayesTyper	svVariant_6	0	0	1.2907518070002977	Observed	G2	99
BayesTyper	svVariant_6	0	0	1.2907518070002977	Expected	G0	5.801666666666667
BayesTyper	svVariant_6	0	0	1.2907518070002977	Expected	G1	47.39666666666666
BayesTyper	svVariant_6	0	0	1.2907518070002977	Expected	G2	96.80166666666668
BayesTyper	svVariant_7	0	0	2.6027378399496057	Observed	G0	8
BayesTyper	svVariant_7	0	0	2.6027378399496057	Observed	G1	39
BayesTyper	svVariant_7	0	0	2.6027378399496057	Observed	G2	103
BayesTyper	svVariant_7	0	0	2.6027378399496057	Expected	G0	5.041666666666666
BayesTyper	svVariant_7	0	0	2.6027378399496057	Expected	G1	44.91666666666666
BayesTyper	svVariant_7	0	0	2.6027378399496057	Expected	G2	100.04166666666667
BayesTyper	svVariant_8	0	0	0.3077614150954849	Observed	G0	137
BayesTyper	svVariant_8	0	0	0.3077614150954849	Observed	G1	13
BayesTyper	svVariant_8	0	0	0.3077614150954849	Observed	G2	0
BayesTyper	svVariant_8	0	0	0.3077614150954849	Expected	G0	137.28166666666667
BayesTyper	svVariant_8	0	0	0.3077614150954849	Expected	G1	12.436666666666667
BayesTyper	svVariant_8	0	0	0.3077614150954849	Expected	G2	0.2816666666666667
BayesTyper	svVariant_9	0	0	NA	Observed	G0	150
BayesTyper	svVariant_9	0	0	NA	Observed	G1	0
BayesTyper	svVariant_9	0	0	NA	Observed	G2	0
BayesTyper	svVariant_9	0	0	NA	Expected	G0	150
BayesTyper	svVariant_9	0	0	NA	Expected	G1	0
BayesTyper	svVariant_9	0	0	NA	Expected	G2	0
GGTyper	NA_variant_1	0	0	1.9607614335612666	Observed	G0	48
GGTyper	NA_variant_1	0	0	1.9607614335612666	Observed	G1	66
GGTyper	NA_variant_1	0	0	1.9607614335612666	Observed	G2	36
GGTyper	NA_variant_1	0	0	1.9607614335612666	Expected	G0	43.74
GGTyper	NA_variant_1	0	0	1.9607614335612666	Expected	G1	74.52000000000001
GGTyper	NA_variant_1	0	0	1.9607614335612666	Expected	G2	31.740000000000002
GGTyper	NA_variant_2	0	0	0.3226961217949829	Observed	G0	99
GGTyper	NA_variant_2	0	0	0.3226961217949829	Observed	G1	47
GGTyper	NA_variant_2	0	0	0.3226961217949829	Observed	G2	4
GGTyper	NA_variant_2	0	0	0.3226961217949829	Expected	G0	100.04166666666667
GGTyper	NA_variant_2	0	0	0.3226961217949829	Expected	G1	44.91666666666666
GGTyper	NA_variant_2	0	0	0.3226961217949829	Expected	G2	5.041666666666666
GGTyper	NA_variant_3	0	0	0.003433987317140214	Observed	G0	60
GGTyper	NA_variant_3	0	0	0.003433987317140214	Observed	G1	70
GGTyper	NA_variant_3	0	0	0.003433987317140214	Observed	G2	20
GGTyper	NA_variant_3	0	0	0.003433987317140214	Expected	G0	60.166666666666664
GGTyper	NA_variant_3	0	0	0.003433987317140214	Expected	G1	69.66666666666666
GGTyper	NA_variant_3	0	0	0.003433987317140214	Expected	G2	20.166666666666664
GGTyper	NA_variant_4	0	0	0.9393923709952903	Observed	G0	128
GGTyper	NA_variant_4	0	0	0.9393923709952903	Observed	G1	22
GGTyper	NA_variant_4	0	0	0.9393923709952903	Observed	G2	0
GGTyper	NA_variant_4	0	0	0.9393923709952903	Expected	G0	128.80666666666667
GGTyper	NA_variant_4	0	0	0.9393923709952903	Expected	G1	20.386666666666667
GGTyper	NA_variant_4	0	0	0.9393923709952903	Expected	G2	0.8066666666666668
GGTyper	NA_variant_5	0	0	0.7071149745628877	Observed	G0	100
GGTyper	NA_variant_5	0	0	0.7071149745628877	Observed	G1	43
GGTyper	NA_variant_5	0	0	0.7071149745628877	Observed	G2	7
GGTyper	NA_variant_5	0	0	0.7071149745628877	Expected	G0	98.41500000000002
GGTyper	NA_variant_5	0	0	0.7071149745628877	Expected	G1	46.17
GGTyper	NA_variant_5	0	0	0.7071149745628877	Expected	G2	5.415
GGTyper	NA_variant_6	0	0	20.0034008372283	Observed	G0	60
GGTyper	NA_variant_6	0	0	20.0034008372283	Observed	G1	47
GGTyper	NA_variant_6	0	0	20.0034008372283	Observed	G2	43
GGTyper	NA_variant_6	0	0	20.0034008372283	Expected	G0	46.48166666666666
GGTyper	NA_variant_6	0	0	20.0034008372283	Expected	G1	74.03666666666666
GGTyper	NA_variant_6	0	0	20.0034008372283	Expected	G2	29.48166666666667
GGTyper	NA_variant_7	0	0	1.5184036289547835	Observed	G0	122
GGTyper	NA_variant_7	0	0	1.5184036289547835	Observed	G1	25
GGTyper	NA_variant_7	0	0	1.5184036289547835	Observed	G2	3
GGTyper	NA_variant_7	0	0	1.5184036289547835	Expected	G0	120.60166666666665
GGTyper	NA_variant_7	0	0	1.5184036289547835	Expected	G1	27.796666666666663
GGTyper	NA_variant_7	0	0	1.5184036289547835	Expected	G2	1.6016666666666666
GGTyper	SPINK14	0	0	1.1052604664121015	Observed	G0	29
GGTyper	SPINK14	0	0	1.1052604664121015	Observed	G1	81
GGTyper	SPINK14	0	0	1.1052604664121015	Observed	G2	40
GGTyper	SPINK14	0	0	1.1052604664121015	Expected	G0	32.20166666666667
GGTyper	SPINK14	0	0	1.1052604664121015	Expected	G1	74.59666666666665
GGTyper	SPINK14	0	0	1.1052604664121015	Expected	G2	43.20166666666666
GGTyper	SVAE	0	0	0.9890485163962897	Observed	G0	37
GGTyper	SVAE	0	0	0.9890485163962897	Observed	G1	81
GGTyper	SVAE	0	0	0.9890485163962897	Observed	G2	32
GGTyper	SVAE	0	0	0.9890485163962897	Expected	G0	40.04166666666667
GGTyper	SVAE	0	0	0.9890485163962897	Expected	G1	74.91666666666669
GGTyper	SVAE	0	0	0.9890485163962897	Expected	G2	35.041666666666664
GGTyper	ShortInversion	0	0	13.097354570303196	Observed	G0	90
GGTyper	ShortInversion	0	0	13.097354570303196	Observed	G1	41
GGTyper	ShortInversion	0	0	13.097354570303196	Observed	G2	19
GGTyper	ShortInversion	0	0	13.097354570303196	Expected	G0	81.40166666666667
GGTyper	ShortInversion	0	0	13.097354570303196	Expected	G1	58.196666666666665
GGTyper	ShortInversion	0	0	13.097354570303196	Expected	G2	10.401666666666664
GGTyper	svVariant_1	0	0	2.789256198347107	Observed	G0	0
GGTyper	svVariant_1	0	0	2.789256198347107	Observed	G1	36
GGTyper	svVariant_1	0	0	2.789256198347107	Observed	G2	114
GGTyper	svVariant_1	0	0	2.789256198347107	Expected	G0	2.16
GGTyper	svVariant_1	0	0	2.789256198347107	Expected	G1	31.68
GGTyper	svVariant_1	0	0	2.789256198347107	Expected	G2	116.16
GGTyper	svVariant_10	0	0	1.4904579954921306	Observed	G0	57
GGTyper	svVariant_10	0	0	1.4904579954921306	Observed	G1	65
GGTyper	svVariant_10	0	0	1.4904579954921306	Observed	G2	28
GGTyper	svVariant_10	0	0	1.4904579954921306	Expected	G0	53.401666666666664
GGTyper	svVariant_10	0	0	1.4904579954921306	Expected	G1	72.19666666666667
GGTyper	svVariant_10	0	0	1.4904579954921306	Expected	G2	24.401666666666664
GGTyper	svVariant_2	0	0	0.29341588576026856	Observed	G0	58
GGTyper	svVariant_2	0	0	0.29341588576026856	Observed	G1	68
GGTyper	svVariant_2	0	0	0.29341588576026856	Observed	G2	24
GGTyper	svVariant_2	0	0	0.29341588576026856	Expected	G0	56.426666666666655
GGTyper	svVariant_2	0	0	0.29341588576026856	Expected	G1	71.14666666666666
GGTyper	svVariant_2	0	0	0.29341588576026856	Expected	G2	22.426666666666666
GGTyper	svVariant_3	0	0	0.36219867272940554	Observed	G0	43
GGTyper	svVariant_3	0	0	0.36219867272940554	Observed	G1	78
GGTyper	svVariant_3	0	0	0.36219867272940554	Observed	G2	29
GGTyper	svVariant_3	0	0	0.36219867272940554	Expected	G0	44.82666666666666
GGTyper	svVariant_3	0	0	0.36219867272940554	Expected	G1	74.34666666666666
GGTyper	svVariant_3	0	0	0.36219867272940554	Expected	G2	30.826666666666664
GGTyper	svVariant_4	0	0	3.4480511718493734	Observed	G0	32
GGTyper	svVariant_4	0	0	3.4480511718493734	Observed	G1	62
GGTyper	svVariant_4	0	0	3.4480511718493734	Observed	G2	56
GGTyper	svVariant_4	0	0	3.4480511718493734	Expected	G0	26.459999999999997
GGTyper	svVariant_4	0	0	3.4480511718493734	Expected	G1	73.08
GGTyper	svVariant_4	0	0	3.4480511718493734	Expected	G2	50.459999999999994
GGTyper	svVariant_5	0	0	108.84773662551439	Observed	G0	12
GGTyper	svVariant_5	0	0	108.84773662551439	Observed	G1	138
GGTyper	svVariant_5	0	0	108.84773662551439	Observed	G2	0
GGTyper	svVariant_5	0	0	108.84773662551439	Expected	G0	43.74
GGTyper	svVariant_5	0	0	108.84773662551439	Expected	G1	74.52000000000001
GGTyper	svVariant_5	0	0	108.84773662551439	Expected	G2	31.740000000000002
GGTyper	svVariant_6	0	0	0.5321292047051424	Observed	G0	7
GGTyper	svVariant_6	0	0	0.5321292047051424	Observed	G1	44
GGTyper	svVariant_6	0	0	0.5321292047051424	Observed	G2	99
GGTyper	svVariant_6	0	0	0.5321292047051424	Expected	G0	5.6066666666666665
GGTyper	svVariant_6	0	0	0.5321292047051424	Expected	G1	46.78666666666666
GGTyper	svVariant_6	0	0	0.5321292047051424	Expected	G2	97.60666666666665
GGTyper	svVariant_7	0	0	2.6027378399496057	Observed	G0	8
GGTyper	svVariant_7	0	0	2.6027378399496057	Observed	G1	39
GGTyper	svVariant_7	0	0	2.6027378399496057	Observed	G2	103
GGTyper	svVariant_7	0	0	2.6027378399496057	Expected	G0	5.041666666666666
GGTyper	svVariant_7	0	0	2.6027378399496057	Expected	G1	44.91666666666666
GGTyper	svVariant_7	0	0	2.6027378399496057	Expected	G2	100.04166666666667
GGTyper	svVariant_8	0	0	4.2412697807476025	Observed	G0	71
GGTyper	svVariant_8	0	0	4.2412697807476025	Observed	G1	56
GGTyper	svVariant_8	0	0	4.2412697807476025	Observed	G2	23
GGTyper	svVariant_8	0	0	4.2412697807476025	Expected	G0	65.34
GGTyper	svVariant_8	0	0	4.2412697807476025	Expected	G1	67.32000000000001
GGTyper	svVariant_8	0	0	4.2412697807476025	Expected	G2	17.340000000000003
GGTyper	svVariant_9	0	0	0.28263245692509487	Observed	G0	27
GGTyper	svVariant_9	0	0	0.28263245692509487	Observed	G1	77
GGTyper	svVariant_9	0	0	0.28263245692509487	Observed	G2	46
GGTyper	svVariant_9	0	0	0.28263245692509487	Expected	G0	28.601666666666663
GGTyper	svVariant_9	0	0	0.28263245692509487	Expected	G1	73.79666666666667
GGTyper	svVariant_9	0	0	0.28263245692509487	Expected	G2	47.601666666666674
Paragraph(Graph)	NA_variant_1	0	0	3.6637728517042003	Observed	G0	52
Paragraph(Graph)	NA_variant_1	0	0	3.6637728517042003	Observed	G1	62
Paragraph(Graph)	NA_variant_1	0	0	3.6637728517042003	Observed	G2	35
Paragraph(Graph)	NA_variant_1	0	0	3.6637728517042003	Expected	G0	46.23489932885906
Paragraph(Graph)	NA_variant_1	0	0	3.6637728517042003	Expected	G1	73.53020134228187
Paragraph(Graph)	NA_variant_1	0	0	3.6637728517042003	Expected	G2	29.234899328859065
Paragraph(Graph)	NA_variant_2	0	0	0.24290830340826888	Observed	G0	99
Paragraph(Graph)	NA_variant_2	0	0	0.24290830340826888	Observed	G1	46
Paragraph(Graph)	NA_variant_2	0	0	0.24290830340826888	Observed	G2	4
Paragraph(Graph)	NA_variant_2	0	0	0.24290830340826888	Expected	G0	99.89261744966444
Paragraph(Graph)	NA_variant_2	0	0	0.24290830340826888	Expected	G1	44.21476510067114
Paragraph(Graph)	NA_variant_2	0	0	0.24290830340826888	Expected	G2	4.892617449664429
Paragraph(Graph)	NA_variant_3	0	0	5.339970750930981e-4	Observed	G0	60
Paragraph(Graph)	NA_variant_3	0	0	5.339970750930981e-4	Observed	G1	69
Paragraph(Graph)	NA_variant_3	0	0	5.339970750930981e-4	Observed	G2	20
Paragraph(Graph)	NA_variant_3	0	0	5.339970750930981e-4	Expected	G0	59.93456375838927
Paragraph(Graph)	NA_variant_3	0	0	5.339970750930981e-4	Expected	G1	69.13087248322148
Paragraph(Graph)	NA_variant_3	0	0	5.339970750930981e-4	Expected	G2	19.934563758389263
Paragraph(Graph)	NA_variant_4	0	0	0.9467023734509554	Observed	G0	127
Paragraph(Graph)	NA_variant_4	0	0	0.9467023734509554	Observed	G1	22
Paragraph(Graph)	NA_variant_4	0	0	0.9467023734509554	Observed	G2	0
Paragraph(Graph)	NA_variant_4	0	0	0.9467023734509554	Expected	G0	127.81208053691275
Paragraph(Graph)	NA_variant_4	0	0	0.9467023734509554	Expected	G1	20.3758389261745
Paragraph(Graph)	NA_variant_4	0	0	0.9467023734509554	Expected	G2	0.8120805369127518
Paragraph(Graph)	NA_variant_5	0	0	0.8707610477426423	Observed	G0	100
Paragraph(Graph)	NA_variant_5	0	0	0.8707610477426423	Observed	G1	42
Paragraph(Graph)	NA_variant_5	0	0	0.8707610477426423	Observed	G2	7
Paragraph(Graph)	NA_variant_5	0	0	0.8707610477426423	Expected	G0	98.26174496644296
Paragraph(Graph)	NA_variant_5	0	0	0.8707610477426423	Expected	G1	45.476510067114106
Paragraph(Graph)	NA_variant_5	0	0	0.8707610477426423	Expected	G2	5.2617449664429525
Paragraph(Graph)	NA_variant_6	0	0	20.88687815752371	Observed	G0	60
Paragraph(Graph)	NA_variant_6	0	0	20.88687815752371	Observed	G1	46
Paragraph(Graph)	NA_variant_6	0	0	20.88687815752371	Observed	G2	43
Paragraph(Graph)	NA_variant_6	0	0	20.88687815752371	Expected	G0	46.23489932885906
Paragraph(Graph)	NA_variant_6	0	0	20.88687815752371	Expected	G1	73.53020134228187
Paragraph(Graph)	NA_variant_6	0	0	20.88687815752371	Expected	G2	29.234899328859065
Paragraph(Graph)	NA_variant_7	0	0	1.4874808289028398	Observed	G0	121
Paragraph(Graph)	NA_variant_7	0	0	1.4874808289028398	Observed	G1	25
Paragraph(Graph)	NA_variant_7	0	0	1.4874808289028398	Observed	G2	3
Paragraph(Graph)	NA_variant_7	0	0	1.4874808289028398	Expected	G0	119.61241610738254
Paragraph(Graph)	NA_variant_7	0	0	1.4874808289028398	Expected	G1	27.7751677852349
Paragraph(Graph)	NA_variant_7	0	0	1.4874808289028398	Expected	G2	1.6124161073825503
Paragraph(Graph)	SPINK14	0	0	0.9467023734509563	Observed	G0	29
Paragraph(Graph)	SPINK14	0	0	0.9467023734509563	Observed	G1	80
Paragraph(Graph)	SPINK14	0	0	0.9467023734509563	Observed	G2	40
Paragraph(Graph)	SPINK14	0	0	0.9467023734509563	Expected	G0	31.953020134228186
Paragraph(Graph)	SPINK14	0	0	0.9467023734509563	Expected	G1	74.09395973154362
Paragraph(Graph)	SPINK14	0	0	0.9467023734509563	Expected	G2	42.95302013422819
Paragraph(Graph)	SVAE	0	0	0.5247248367513513	Observed	G0	37
Paragraph(Graph)	SVAE	0	0	0.5247248367513513	Observed	G1	70
Paragraph(Graph)	SVAE	0	0	0.5247248367513513	Observed	G2	42
Paragraph(Graph)	SVAE	0	0	0.5247248367513513	Expected	G0	34.79194630872484
Paragraph(Graph)	SVAE	0	0	0.5247248367513513	Expected	G1	74.41610738255034
Paragraph(Graph)	SVAE	0	0	0.5247248367513513	Expected	G2	39.79194630872483
Paragraph(Graph)	ShortInversion	0	0	11.850093323122032	Observed	G0	90
Paragraph(Graph)	ShortInversion	0	0	11.850093323122032	Observed	G1	41
Paragraph(Graph)	ShortInversion	0	0	11.850093323122032	Observed	G2	18
Paragraph(Graph)	ShortInversion	0	0	11.850093323122032	Expected	G0	81.9479865771812
Paragraph(Graph)	ShortInversion	0	0	11.850093323122032	Expected	G1	57.10402684563759
Paragraph(Graph)	ShortInversion	0	0	11.850093323122032	Expected	G2	9.947986577181208
Paragraph(Graph)	svVariant_1	0	0	2.813122778392867	Observed	G0	0
Paragraph(Graph)	svVariant_1	0	0	2.813122778392867	Observed	G1	36
Paragraph(Graph)	svVariant_1	0	0	2.813122778392867	Observed	G2	113
Paragraph(Graph)	svVariant_1	0	0	2.813122778392867	Expected	G0	2.1744966442953024
Paragraph(Graph)	svVariant_1	0	0	2.813122778392867	Expected	G1	31.651006711409398
Paragraph(Graph)	svVariant_1	0	0	2.813122778392867	Expected	G2	115.17449664429529
Paragraph(Graph)	svVariant_10	0	0	1.3611459032876265	Observed	G0	56
Paragraph(Graph)	svVariant_10	0	0	1.3611459032876265	Observed	G1	65
Paragraph(Graph)	svVariant_10	0	0	1.3611459032876265	Observed	G2	28
Paragraph(Graph)	svVariant_10	0	0	1.3611459032876265	Expected	G0	52.56543624161073
Paragraph(Graph)	svVariant_10	0	0	1.3611459032876265	Expected	G1	71.86912751677852
Paragraph(Graph)	svVariant_10	0	0	1.3611459032876265	Expected	G2	24.56543624161074
Paragraph(Graph)	svVariant_2	0	0	0.24039156150326912	Observed	G0	57
Paragraph(Graph)	svVariant_2	0	0	0.24039156150326912	Observed	G1	68
Paragraph(Graph)	svVariant_2	0	0	0.24039156150326912	Observed	G2	24
Paragraph(Graph)	svVariant_2	0	0	0.24039156150326912	Expected	G0	55.57718120805369
Paragraph(Graph)	svVariant_2	0	0	0.24039156150326912	Expected	G1	70.84563758389262
Paragraph(Graph)	svVariant_2	0	0	0.24039156150326912	Expected	G2	22.577181208053688
Paragraph(Graph)	svVariant_3	0	0	1.9274010094247287	Observed	G0	43
Paragraph(Graph)	svVariant_3	0	0	1.9274010094247287	Observed	G1	66
Paragraph(Graph)	svVariant_3	0	0	1.9274010094247287	Observed	G2	40
Paragraph(Graph)	svVariant_3	0	0	1.9274010094247287	Expected	G0	38.76510067114094
Paragraph(Graph)	svVariant_3	0	0	1.9274010094247287	Expected	G1	74.46979865771813
Paragraph(Graph)	svVariant_3	0	0	1.9274010094247287	Expected	G2	35.76510067114094
Paragraph(Graph)	svVariant_4	0	0	3.2404238922498454	Observed	G0	32
Paragraph(Graph)	svVariant_4	0	0	3.2404238922498454	Observed	G1	62
Paragraph(Graph)	svVariant_4	0	0	3.2404238922498454	Observed	G2	55
Paragraph(Graph)	svVariant_4	0	0	3.2404238922498454	Expected	G0	26.63758389261745
Paragraph(Graph)	svVariant_4	0	0	3.2404238922498454	Expected	G1	72.7248322147651
Paragraph(Graph)	svVariant_4	0	0	3.2404238922498454	Expected	G2	49.63758389261746
Paragraph(Graph)	svVariant_5	0	0	7.63306745245474	Observed	G0	94
Paragraph(Graph)	svVariant_5	0	0	7.63306745245474	Observed	G1	55
Paragraph(Graph)	svVariant_5	0	0	7.63306745245474	Observed	G2	0
Paragraph(Graph)	svVariant_5	0	0	7.63306745245474	Expected	G0	99.0755033557047
Paragraph(Graph)	svVariant_5	0	0	7.63306745245474	Expected	G1	44.848993288590606
Paragraph(Graph)	svVariant_5	0	0	7.63306745245474	Expected	G2	5.075503355704698
Paragraph(Graph)	svVariant_6	0	0	0.5020309816356194	Observed	G0	7
Paragraph(Graph)	svVariant_6	0	0	0.5020309816356194	Observed	G1	44
Paragraph(Graph)	svVariant_6	0	0	0.5020309816356194	Observed	G2	98
Paragraph(Graph)	svVariant_6	0	0	0.5020309816356194	Expected	G0	5.644295302013422
Paragraph(Graph)	svVariant_6	0	0	0.5020309816356194	Expected	G1	46.71140939597315
Paragraph(Graph)	svVariant_6	0	0	0.5020309816356194	Expected	G2	96.6442953020134
Paragraph(Graph)	svVariant_7	0	0	2.5342130117738053	Observed	G0	8
Paragraph(Graph)	svVariant_7	0	0	2.5342130117738053	Observed	G1	39
Paragraph(Graph)	svVariant_7	0	0	2.5342130117738053	Observed	G2	102
Paragraph(Graph)	svVariant_7	0	0	2.5342130117738053	Expected	G0	5.075503355704698
Paragraph(Graph)	svVariant_7	0	0	2.5342130117738053	Expected	G1	44.848993288590606
Paragraph(Graph)	svVariant_7	0	0	2.5342130117738053	Expected	G2	99.0755033557047
Paragraph(Graph)	svVariant_8	0	0	6.335984446147847	Observed	G0	72
Paragraph(Graph)	svVariant_8	0	0	6.335984446147847	Observed	G1	53
Paragraph(Graph)	svVariant_8	0	0	6.335984446147847	Observed	G2	24
Paragraph(Graph)	svVariant_8	0	0	6.335984446147847	Expected	G0	65.11577181208054
Paragraph(Graph)	svVariant_8	0	0	6.335984446147847	Expected	G1	66.76845637583892
Paragraph(Graph)	svVariant_8	0	0	6.335984446147847	Expected	G2	17.11577181208054
Paragraph(Graph)	svVariant_9	0	0	0.2039406137208338	Observed	G0	27
Paragraph(Graph)	svVariant_9	0	0	0.2039406137208338	Observed	G1	76
Paragraph(Graph)	svVariant_9	0	0	0.2039406137208338	Observed	G2	46
Paragraph(Graph)	svVariant_9	0	0	0.2039406137208338	Expected	G0	28.355704697986575
Paragraph(Graph)	svVariant_9	0	0	0.2039406137208338	Expected	G1	73.28859060402684
Paragraph(Graph)	svVariant_9	0	0	0.2039406137208338	Expected	G2	47.355704697986575
Paragraph(VCF)	NA_variant_1	0	0	4.025522170434456	Observed	G0	52
Paragraph(VCF)	NA_variant_1	0	0	4.025522170434456	Observed	G1	62
